Stereotype,average_quantity,rank,proportion
abstract,0,15,0.0
category,8,5,0.05128205128205128
collective,1,12,0.00641025641025641
datatype,0,15,0.0
enumeration,0,15,0.0
event,3,9,0.019230769230769232
historicalRole,0,15,0.0
historicalRoleMixin,0,15,0.0
kind,18,4,0.11538461538461539
mixin,1,12,0.00641025641025641
mode,7,7,0.04487179487179487
phase,3,9,0.019230769230769232
phaseMixin,0,15,0.0
quality,0,15,0.0
quantity,0,15,0.0
relator,23,3,0.14743589743589744
role,47,1,0.30128205128205127
roleMixin,8,5,0.05128205128205128
situation,0,15,0.0
subkind,27,2,0.17307692307692307
type,3,9,0.019230769230769232
none,6,8,0.038461538461538464
other,1,12,0.00641025641025641
