Stereotype,Stereotype2,Absolute Value,Sign,Classification
collective,category,0.08404977220207888,positive,very_weak
datatype,category,0.10527936095153946,negative,very_weak
event,category,0.13904693239779647,positive,very_weak
kind,category,0.049844478627922684,positive,very_weak
mixin,category,0.14374722712498647,positive,very_weak
mode,category,0.44047619047619047,positive,moderate
phase,category,0.3563483225498992,positive,weak
quality,category,0.08773280079294955,positive,very_weak
relator,category,0.0,negative,very_weak
role,category,0.08333333333333333,positive,very_weak
roleMixin,category,0.3939663084604233,positive,weak
situation,category,0.031943828249996996,negative,very_weak
subkind,category,0.5345224838248488,positive,moderate
type,category,0.2807449625374386,positive,weak
none,category,0.1336306209562122,negative,very_weak
other,category,0.1336306209562122,positive,very_weak
category,collective,0.08404977220207888,positive,very_weak
datatype,collective,0.2615284308086944,positive,weak
event,collective,0.2954179256673254,negative,weak
kind,collective,0.01955061301297202,positive,very_weak
mixin,collective,0.1942057042751279,positive,very_weak
mode,collective,0.37822397490935494,positive,weak
phase,collective,0.13977131156292244,positive,very_weak
quality,collective,0.034411635632722946,positive,very_weak
relator,collective,0.052414241836095915,positive,very_weak
role,collective,0.08404977220207888,positive,very_weak
roleMixin,collective,0.14543651725160636,negative,very_weak
situation,collective,0.21926450482675733,negative,weak
subkind,collective,0.052414241836095915,positive,very_weak
type,collective,0.034411635632722946,positive,very_weak
none,collective,0.24459979523511424,negative,weak
other,collective,0.1205527562230206,negative,very_weak
category,datatype,0.10527936095153946,negative,very_weak
collective,datatype,0.2615284308086944,positive,weak
event,datatype,0.05692855849765747,positive,very_weak
kind,datatype,0.24488775998915044,positive,weak
mixin,datatype,0.3609647718302481,positive,weak
mode,datatype,0.10527936095153946,positive,very_weak
phase,datatype,0.06565321642986127,positive,very_weak
quality,datatype,0.14655172413793102,positive,very_weak
relator,datatype,0.3282660821493064,negative,weak
role,datatype,0.10527936095153946,negative,very_weak
roleMixin,datatype,0.13093568454461219,negative,very_weak
situation,datatype,0.10201178334333098,positive,very_weak
subkind,datatype,0.06565321642986129,positive,very_weak
type,datatype,0.13793103448275862,negative,very_weak
none,datatype,0.1750752438129634,negative,very_weak
other,datatype,0.006565321642986128,positive,very_weak
category,event,0.13904693239779647,positive,very_weak
collective,event,0.2954179256673254,negative,weak
datatype,event,0.05692855849765747,positive,very_weak
kind,event,0.367905818213731,negative,weak
mixin,event,0.02072789286028605,negative,very_weak
mode,event,0.24333213169614382,positive,weak
phase,event,0.086710996952412,negative,very_weak
quality,event,0.05692855849765747,positive,very_weak
relator,event,0.303488489333442,negative,weak
role,event,0.24333213169614382,negative,weak
roleMixin,event,0.37969924812030076,positive,weak
situation,event,0.49228745543179364,positive,moderate
subkind,event,0.08671099695241201,positive,very_weak
type,event,0.2447928015399271,positive,weak
none,event,0.390199486285854,positive,weak
other,event,0.2297841419238918,positive,weak
category,kind,0.049844478627922684,positive,very_weak
collective,kind,0.01955061301297202,positive,very_weak
datatype,kind,0.24488775998915044,positive,weak
event,kind,0.367905818213731,negative,weak
mixin,kind,0.08916451401205645,negative,very_weak
mode,kind,0.049844478627922684,negative,very_weak
phase,kind,0.13987572123604705,positive,very_weak
quality,kind,0.3612094459839969,negative,weak
relator,kind,0.046625240412015684,negative,very_weak
role,kind,0.4610614273082848,positive,moderate
roleMixin,kind,0.23448942259776262,negative,weak
situation,kind,0.2730663241619229,negative,weak
subkind,kind,0.23312620206007845,positive,weak
type,kind,0.1591770439929478,negative,very_weak
none,kind,0.20204270845206798,negative,weak
other,kind,0.08858795678282981,negative,very_weak
category,mixin,0.14374722712498647,positive,very_weak
collective,mixin,0.1942057042751279,positive,very_weak
datatype,mixin,0.3609647718302481,positive,weak
event,mixin,0.02072789286028605,negative,very_weak
kind,mixin,0.08916451401205645,negative,very_weak
mode,mixin,0.20763488362498048,positive,weak
phase,mixin,0.45817096691151754,positive,moderate
quality,mixin,0.6199177603171653,positive,strong
relator,mixin,0.05976143046671969,negative,very_weak
role,mixin,0.31943828249996997,positive,weak
roleMixin,mixin,0.15027722323707385,positive,very_weak
situation,mixin,0.05714285714285714,positive,very_weak
subkind,mixin,0.05976143046671969,negative,very_weak
type,mixin,0.10201178334333098,positive,very_weak
none,mixin,0.019920476822239894,positive,very_weak
other,mixin,0.23904572186687872,negative,weak
category,mode,0.44047619047619047,positive,moderate
collective,mode,0.37822397490935494,positive,weak
datatype,mode,0.10527936095153946,positive,very_weak
event,mode,0.24333213169614382,positive,weak
kind,mode,0.049844478627922684,negative,very_weak
mixin,mode,0.20763488362498048,positive,weak
phase,mode,0.2969569354582493,positive,weak
quality,mode,0.08773280079294955,negative,very_weak
relator,mode,0.1336306209562122,positive,very_weak
role,mode,0.047619047619047616,positive,very_weak
roleMixin,mode,0.49825150775877064,positive,moderate
situation,mode,0.14374722712498647,negative,very_weak
subkind,mode,0.40089186286863654,positive,moderate
type,mode,0.10527936095153946,positive,very_weak
none,mode,0.1336306209562122,positive,very_weak
other,mode,0.01336306209562122,positive,very_weak
category,phase,0.3563483225498992,positive,weak
collective,phase,0.13977131156292244,positive,very_weak
datatype,phase,0.06565321642986127,positive,very_weak
event,phase,0.086710996952412,negative,very_weak
kind,phase,0.13987572123604705,positive,very_weak
mixin,phase,0.45817096691151754,positive,moderate
mode,phase,0.2969569354582493,positive,weak
quality,phase,0.06565321642986127,positive,very_weak
relator,phase,0.0,negative,very_weak
role,phase,0.19302200804786204,positive,very_weak
roleMixin,phase,0.231229325206432,positive,weak
situation,phase,0.019920476822239894,positive,very_weak
subkind,phase,0.3333333333333333,positive,weak
type,phase,0.06565321642986127,positive,very_weak
none,phase,0.018518518518518517,negative,very_weak
other,phase,0.08333333333333333,negative,very_weak
category,quality,0.08773280079294955,positive,very_weak
collective,quality,0.034411635632722946,positive,very_weak
datatype,quality,0.14655172413793102,positive,very_weak
event,quality,0.05692855849765747,positive,very_weak
kind,quality,0.3612094459839969,negative,weak
mixin,quality,0.6199177603171653,positive,strong
mode,quality,0.08773280079294955,negative,very_weak
phase,quality,0.06565321642986127,positive,very_weak
relator,quality,0.06565321642986129,positive,very_weak
role,quality,0.08773280079294955,positive,very_weak
roleMixin,quality,0.2447928015399271,positive,weak
situation,quality,0.3609647718302481,positive,weak
subkind,quality,0.13130643285972257,negative,very_weak
type,quality,0.43103448275862066,positive,moderate
none,quality,0.1750752438129634,negative,very_weak
other,quality,0.2100902925755561,negative,weak
category,relator,0.0,negative,very_weak
collective,relator,0.052414241836095915,positive,very_weak
datatype,relator,0.3282660821493064,negative,weak
event,relator,0.303488489333442,negative,weak
kind,relator,0.046625240412015684,negative,very_weak
mixin,relator,0.05976143046671969,negative,very_weak
mode,relator,0.1336306209562122,positive,very_weak
phase,relator,0.0,negative,very_weak
quality,relator,0.06565321642986129,positive,very_weak
role,relator,0.1336306209562122,positive,very_weak
roleMixin,relator,0.21677749238103,positive,weak
situation,relator,0.05976143046671969,negative,very_weak
subkind,relator,0.09090909090909091,negative,very_weak
type,relator,0.06565321642986129,positive,very_weak
none,relator,0.3333333333333333,negative,weak
other,relator,0.2,negative,weak
category,role,0.08333333333333333,positive,very_weak
collective,role,0.08404977220207888,positive,very_weak
datatype,role,0.10527936095153946,negative,very_weak
event,role,0.24333213169614382,negative,weak
kind,role,0.4610614273082848,positive,moderate
mixin,role,0.31943828249996997,positive,weak
mode,role,0.047619047619047616,positive,very_weak
phase,role,0.19302200804786204,positive,very_weak
quality,role,0.08773280079294955,positive,very_weak
relator,role,0.1336306209562122,positive,very_weak
roleMixin,role,0.011587244366483038,positive,very_weak
situation,role,0.20763488362498048,negative,weak
subkind,role,0.0,negative,very_weak
type,role,0.08773280079294955,positive,very_weak
none,role,0.029695693545824933,positive,very_weak
other,role,0.30735042819928804,negative,weak
category,roleMixin,0.3939663084604233,positive,weak
collective,roleMixin,0.14543651725160636,negative,very_weak
datatype,roleMixin,0.13093568454461219,negative,very_weak
event,roleMixin,0.37969924812030076,positive,weak
kind,roleMixin,0.23448942259776262,negative,weak
mixin,roleMixin,0.15027722323707385,positive,very_weak
mode,roleMixin,0.49825150775877064,positive,moderate
phase,roleMixin,0.231229325206432,positive,weak
quality,roleMixin,0.2447928015399271,positive,weak
relator,roleMixin,0.21677749238103,positive,weak
role,roleMixin,0.011587244366483038,positive,very_weak
situation,roleMixin,0.02072789286028605,negative,very_weak
subkind,roleMixin,0.21677749238103,positive,weak
type,roleMixin,0.2447928015399271,positive,weak
none,roleMixin,0.07225916412701,positive,very_weak
other,roleMixin,0.1994352929905476,negative,very_weak
category,situation,0.031943828249996996,negative,very_weak
collective,situation,0.21926450482675733,negative,weak
datatype,situation,0.10201178334333098,positive,very_weak
event,situation,0.49228745543179364,positive,moderate
kind,situation,0.2730663241619229,negative,weak
mixin,situation,0.05714285714285714,positive,very_weak
mode,situation,0.14374722712498647,negative,very_weak
phase,situation,0.019920476822239894,positive,very_weak
quality,situation,0.3609647718302481,positive,weak
relator,situation,0.05976143046671969,negative,very_weak
role,situation,0.20763488362498048,negative,weak
roleMixin,situation,0.02072789286028605,negative,very_weak
subkind,situation,0.23904572186687875,negative,weak
type,situation,0.10201178334333098,positive,very_weak
none,situation,0.19920476822239894,negative,very_weak
other,situation,0.3525924397536461,positive,weak
category,subkind,0.5345224838248488,positive,moderate
collective,subkind,0.052414241836095915,positive,very_weak
datatype,subkind,0.06565321642986129,positive,very_weak
event,subkind,0.08671099695241201,positive,very_weak
kind,subkind,0.23312620206007845,positive,weak
mixin,subkind,0.05976143046671969,negative,very_weak
mode,subkind,0.40089186286863654,positive,moderate
phase,subkind,0.3333333333333333,positive,weak
quality,subkind,0.13130643285972257,negative,very_weak
relator,subkind,0.09090909090909091,negative,very_weak
role,subkind,0.0,negative,very_weak
roleMixin,subkind,0.21677749238103,positive,weak
situation,subkind,0.23904572186687875,negative,weak
type,subkind,0.26261286571944514,positive,weak
