Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,quality,relator,role,roleMixin,situation,subkind,type
category,1.0,0.09249626910607237,0.11986916327600887,0.09091354631484795,-0.02253064517832704,0.15609046565271611,0.3599599759362633,0.11629998339003998,0.17446640648059195,-0.025526044981911175,0.01518776555503252,0.2833047250221554,0.14519858478280856,0.2541915335100739,0.2508306968850215
collective,0.09249626910607237,1.0,0.1745906339934004,-0.03381061255591941,0.12919069397660016,0.11724912491728422,0.2010423805461899,0.3255511129327973,-0.03681350178091523,0.2442548493115354,0.1140877977766462,-0.008289699910280132,-0.24741068267164534,0.17121763651246155,0.13129783450723204
datatype,0.11986916327600887,0.1745906339934004,1.0,0.12121264241895217,0.12006410351199737,0.1094506443945897,0.0767553012824675,0.029294435108726143,0.134142299781418,-0.10824161463867814,0.008097926421352465,-0.04651292021699338,0.17535142075352533,0.12974188372121875,0.0962962962962963
event,0.09091354631484795,-0.03381061255591941,0.12121264241895217,1.0,-0.25441201961326887,-0.07458872512933233,0.1943465463754683,0.08370017296426792,0.08676123805867003,-0.06596497731715217,-0.0941647412059081,0.2539082392695341,0.5116895373351519,-0.010563942719952348,0.2802227754846744
kind,-0.02253064517832704,0.12919069397660016,0.12006410351199737,-0.25441201961326887,1.0,0.025060895778803063,0.05376211046232464,0.2636219962869114,0.04012954973761436,0.12219920660101595,0.45427431096596227,-0.15602703802347043,-0.22332927165959782,0.372401221748762,-0.20665308522696943
mixin,0.15609046565271611,0.11724912491728422,0.1094506443945897,-0.07458872512933233,0.025060895778803063,1.0,0.18603900639018553,0.19861533663856865,0.13610893073432406,0.020291031398236417,0.2630779379676212,0.13205588449619646,-0.04444158692398343,-0.020070450504862735,0.1608082544566664
mode,0.3599599759362633,0.2010423805461899,0.0767553012824675,0.1943465463754683,0.05376211046232464,0.18603900639018553,1.0,0.16185648681294895,0.19542742175786904,0.1717164367350207,0.13892711086122686,0.3099191350121557,-0.050217200473731974,0.18806997594367125,0.27431114002637125
phase,0.11629998339003998,0.3255511129327973,0.029294435108726143,0.08370017296426792,0.2636219962869114,0.19861533663856865,0.16185648681294895,1.0,0.10247925644733182,0.1333220103887812,0.2528668240523786,0.07161634554901886,-0.05618899781496005,0.3436485263814926,0.029294435108726143
quality,0.17446640648059195,-0.03681350178091523,0.134142299781418,0.08676123805867003,0.04012954973761436,0.13610893073432406,0.19542742175786904,0.10247925644733182,1.0,0.15141110748159042,0.1613213713309996,0.03992969185709142,0.20014732311484973,0.08548825533110929,0.17526129619682757
relator,-0.025526044981911175,0.2442548493115354,-0.10824161463867814,-0.06596497731715217,0.12219920660101595,0.020291031398236417,0.1717164367350207,0.1333220103887812,0.15141110748159042,1.0,0.1615630662109813,0.13483268049510405,-0.0925812719279654,0.060207860900276765,-0.016536913347575826
role,0.01518776555503252,0.1140877977766462,0.008097926421352465,-0.0941647412059081,0.45427431096596227,0.2630779379676212,0.13892711086122686,0.2528668240523786,0.1613213713309996,0.1615630662109813,1.0,0.06021778684654841,-0.17152327765763353,0.06546704573451764,-0.03485629198756061
roleMixin,0.2833047250221554,-0.008289699910280132,-0.04651292021699338,0.2539082392695341,-0.15602703802347043,0.13205588449619646,0.3099191350121557,0.07161634554901886,0.03992969185709142,0.13483268049510405,0.06021778684654841,1.0,0.11052725877536858,-0.0009304669796880187,0.270945891893395
situation,0.14519858478280856,-0.24741068267164534,0.17535142075352533,0.5116895373351519,-0.22332927165959782,-0.04444158692398343,-0.050217200473731974,-0.05618899781496005,0.20014732311484973,-0.0925812719279654,-0.17152327765763353,0.11052725877536858,1.0,-0.13286527282530947,0.07074079321352489
subkind,0.2541915335100739,0.17121763651246155,0.12974188372121875,-0.010563942719952348,0.372401221748762,-0.020070450504862735,0.18806997594367125,0.3436485263814926,0.08548825533110929,0.060207860900276765,0.06546704573451764,-0.0009304669796880187,-0.13286527282530947,1.0,0.039034091090911084
type,0.2508306968850215,0.13129783450723204,0.0962962962962963,0.2802227754846744,-0.20665308522696943,0.1608082544566664,0.27431114002637125,0.029294435108726143,0.17526129619682757,-0.016536913347575826,-0.03485629198756061,0.270945891893395,0.07074079321352489,0.039034091090911084,1.0
