Stereotype,category,collective,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type
category,1.0,0.1370372497906605,0.11016643879261553,0.232136737607579,0.3755872836031669,0.01580767640109833,0.19534953597871108,0.02255925230483715,0.052252706663782005,0.32599781474056977,0.3195800935161009,0.4070883269357969
collective,0.1370372497906605,1.0,-0.04151566484915034,0.2688971974182266,0.22248598567899328,0.29388649538302714,-0.05895000822169397,0.2778837283982691,0.18154662148946424,0.02789446228974347,0.20159294418932766,0.1800518131274718
event,0.11016643879261553,-0.04151566484915034,1.0,-0.21237766085986437,0.1905947424681378,0.13126977111505966,0.1250089598551269,-0.03511190094051985,-0.011332303850216168,0.3229792814277642,0.035075916913834784,0.32640616808163336
kind,0.232136737607579,0.2688971974182266,-0.21237766085986437,1.0,0.15147596754375492,0.2571830477600526,0.1669681533871406,0.3449621118198507,0.3991807513087171,-0.1658020871804411,0.5969383562915425,-0.10110279391001377
mode,0.3755872836031669,0.22248598567899328,0.1905947424681378,0.15147596754375492,1.0,0.11844931855779174,0.1966565290878688,0.1381952581662236,0.24793168936818805,0.2973977148427761,0.2458477732487837,0.32334855593994866
phase,0.01580767640109833,0.29388649538302714,0.13126977111505966,0.2571830477600526,0.11844931855779174,1.0,0.12787701396953924,0.28526942614121825,0.4090714051009862,0.10647115769861769,0.34693382528827504,0.04455951705910429
quality,0.19534953597871108,-0.05895000822169397,0.1250089598551269,0.1669681533871406,0.1966565290878688,0.12787701396953924,1.0,0.1166998890866443,0.057631565930159535,0.024349611569875074,0.3089146546254042,0.10791097031719306
relator,0.02255925230483715,0.2778837283982691,-0.03511190094051985,0.3449621118198507,0.1381952581662236,0.28526942614121825,0.1166998890866443,1.0,0.41105631476436844,0.19526919036234527,0.22883188379056507,0.10833666584290667
role,0.052252706663782005,0.18154662148946424,-0.011332303850216168,0.3991807513087171,0.24793168936818805,0.4090714051009862,0.057631565930159535,0.41105631476436844,1.0,0.13087480066748344,0.24132468942238894,0.05616636804994078
roleMixin,0.32599781474056977,0.02789446228974347,0.3229792814277642,-0.1658020871804411,0.2973977148427761,0.10647115769861769,0.024349611569875074,0.19526919036234527,0.13087480066748344,1.0,-0.0010698394013430763,0.3916309846507759
subkind,0.3195800935161009,0.20159294418932766,0.035075916913834784,0.5969383562915425,0.2458477732487837,0.34693382528827504,0.3089146546254042,0.22883188379056507,0.24132468942238894,-0.0010698394013430763,1.0,0.06918681879435634
type,0.4070883269357969,0.1800518131274718,0.32640616808163336,-0.10110279391001377,0.32334855593994866,0.04455951705910429,0.10791097031719306,0.10833666584290667,0.05616636804994078,0.3916309846507759,0.06918681879435634,1.0
