Stereotype,category,event,kind,mode,phase,relator,role,subkind,type,characterization,derivation,formal,material,mediation
category,1.0,0.07079427191090967,0.4928158986789492,0.513898728614516,0.43605753803643454,0.342430066418022,0.3556892255754004,0.6259060860254935,0.5283375529707313,0.469885205259286,0.23812885338619677,0.43624910298749897,0.49960629577044274,0.5600443105714873
event,0.07079427191090967,1.0,-0.2877227968606011,0.14966432071743554,-0.0413890974052972,-0.37496993161650966,0.027804841685207218,0.018394561770408553,0.3105875689125798,0.04928174961191037,-0.22359086326436448,-0.16490883469326897,0.08899478832030755,-0.15547402289739598
kind,0.4928158986789492,-0.2877227968606011,1.0,0.23596875678450502,0.17778228588137365,0.3658493455191798,0.5545199896369416,0.5700575310280869,0.2346242946869214,0.025316089464169692,0.3659504965674156,0.21031977080224545,0.6152240831737741,0.27480320824222143
mode,0.513898728614516,0.14966432071743554,0.23596875678450502,1.0,0.22113222903596638,0.2571797282493036,0.2818041877272512,0.24729632778891295,0.47429010988817827,0.5635083585549052,0.119159968311814,0.2897941891165621,0.21124069705950255,0.4663319202312743
phase,0.43605753803643454,-0.0413890974052972,0.17778228588137365,0.22113222903596638,1.0,0.19419815613430885,0.4091569057199877,0.36812376628281035,0.1842631240468055,0.05325798985805629,0.3805853452463866,0.3245286221944327,0.3118983128998426,0.27806085851438495
relator,0.342430066418022,-0.37496993161650966,0.3658493455191798,0.2571797282493036,0.19419815613430885,1.0,0.5127283338951979,0.13326543661830537,0.29216607836755937,0.3796903568910611,0.5575293492414373,0.4952965525293481,0.44559719802943976,0.6941081113119988
role,0.3556892255754004,0.027804841685207218,0.5545199896369416,0.2818041877272512,0.4091569057199877,0.5127283338951979,1.0,0.2886530346131598,0.42837914969572116,0.1185352239796805,0.33821209110947736,0.24865496742045126,0.5397238583613075,0.3689037459967516
subkind,0.6259060860254935,0.018394561770408553,0.5700575310280869,0.24729632778891295,0.36812376628281035,0.13326543661830537,0.2886530346131598,1.0,0.3316797256851612,0.04016232797443182,0.14429085456585097,0.06623910951841333,0.439848699006334,0.3266089924157093
type,0.5283375529707313,0.3105875689125798,0.2346242946869214,0.47429010988817827,0.1842631240468055,0.29216607836755937,0.42837914969572116,0.3316797256851612,1.0,0.34773358440899893,0.04732537279438898,0.22675252644545732,0.3177886681225312,0.28719426871239856
characterization,0.469885205259286,0.04928174961191037,0.025316089464169692,0.5635083585549052,0.05325798985805629,0.3796903568910611,0.1185352239796805,0.04016232797443182,0.34773358440899893,1.0,0.22333199180194732,0.4364769396102895,0.08399670268769038,0.665989312103316
derivation,0.23812885338619677,-0.22359086326436448,0.3659504965674156,0.119159968311814,0.3805853452463866,0.5575293492414373,0.33821209110947736,0.14429085456585097,0.04732537279438898,0.22333199180194732,1.0,0.47800416095005727,0.696869360855048,0.5169575173799451
formal,0.43624910298749897,-0.16490883469326897,0.21031977080224545,0.2897941891165621,0.3245286221944327,0.4952965525293481,0.24865496742045126,0.06623910951841333,0.22675252644545732,0.4364769396102895,0.47800416095005727,1.0,0.35618764358152366,0.607172542374407
material,0.49960629577044274,0.08899478832030755,0.6152240831737741,0.21124069705950255,0.3118983128998426,0.44559719802943976,0.5397238583613075,0.439848699006334,0.3177886681225312,0.08399670268769038,0.696869360855048,0.35618764358152366,1.0,0.4136191264939108
mediation,0.5600443105714873,-0.15547402289739598,0.27480320824222143,0.4663319202312743,0.27806085851438495,0.6941081113119988,0.3689037459967516,0.3266089924157093,0.28719426871239856,0.665989312103316,0.5169575173799451,0.607172542374407,0.4136191264939108,1.0
