Stereotype,category,collective,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type
category,1.0,0.1313255970301767,0.11133346751088095,0.24641082534738917,0.3789464289261341,0.01616144302716329,0.20196928032818962,0.02853145942078476,0.05643273346513467,0.32715349519822623,0.3388692567162925,0.4064302735297507
collective,0.1313255970301767,1.0,-0.057474247117510834,0.28836835449925413,0.2198558343812959,0.28812594013864445,-0.04608784395018025,0.29504315646952867,0.1678942563385941,0.017638682898161832,0.21022083977251654,0.15422155162964543
event,0.11133346751088095,-0.057474247117510834,1.0,-0.18732450190693628,0.18047983418558688,0.09806666378954154,0.1292323827417668,-0.03911116330262627,-0.023634054552318616,0.3064479516806007,0.03192592188236001,0.317880995722455
kind,0.24641082534738917,0.28836835449925413,-0.18732450190693628,1.0,0.1690943834062303,0.28661010672220644,0.17201157234966347,0.3551562843846254,0.42065436390026734,-0.14481814577870905,0.6197330881915603,-0.08369369872004105
mode,0.3789464289261341,0.2198558343812959,0.18047983418558688,0.1690943834062303,1.0,0.10869125524607967,0.20062746233441417,0.13754024051134212,0.25129743980405184,0.29364514290531163,0.25595299087864115,0.3224565625543584
phase,0.01616144302716329,0.28812594013864445,0.09806666378954154,0.28661010672220644,0.10869125524607967,1.0,0.13416531434128323,0.2896492664027394,0.40608412935071564,0.08667377986728998,0.3510514315847144,0.024276219655579898
quality,0.20196928032818962,-0.04608784395018025,0.1292323827417668,0.17201157234966347,0.20062746233441417,0.13416531434128323,1.0,0.11055967142792907,0.07811869594332875,0.026520822338427927,0.3164449908212236,0.12668832590483148
relator,0.02853145942078476,0.29504315646952867,-0.03911116330262627,0.3551562843846254,0.13754024051134212,0.2896492664027394,0.11055967142792907,1.0,0.4347050381591875,0.19625442397771442,0.24590209650558437,0.12298141822893159
role,0.05643273346513467,0.1678942563385941,-0.023634054552318616,0.42065436390026734,0.25129743980405184,0.40608412935071564,0.07811869594332875,0.4347050381591875,1.0,0.12876901785377923,0.25290411494330994,0.033093364083874956
roleMixin,0.32715349519822623,0.017638682898161832,0.3064479516806007,-0.14481814577870905,0.29364514290531163,0.08667377986728998,0.026520822338427927,0.19625442397771442,0.12876901785377923,1.0,0.00524258782019184,0.3840390276982241
subkind,0.3388692567162925,0.21022083977251654,0.03192592188236001,0.6197330881915603,0.25595299087864115,0.3510514315847144,0.3164449908212236,0.24590209650558437,0.25290411494330994,0.00524258782019184,1.0,0.07224661996457858
type,0.4064302735297507,0.15422155162964543,0.317880995722455,-0.08369369872004105,0.3224565625543584,0.024276219655579898,0.12668832590483148,0.12298141822893159,0.033093364083874956,0.3840390276982241,0.07224661996457858,1.0
