dataset,number_models,total_classes,stereotyped_classes,non_stereotyped_classes,ontouml_classes,non_ontouml_classes,total_relations,stereotyped_relations,non_stereotyped_relations,ontouml_relations,non_ontouml_relations,ratio_classes_relations,ratio_stereotyped_classes_relations,ratio_stereotyped_classes_total,ratio_non_stereotyped_classes_total,ratio_stereotyped_relations_total,ratio_non_stereotyped_relations_total,ratio_ontouml_classes_total,ratio_non_ontouml_classes_total,ratio_ontouml_relations_total,ratio_non_ontouml_relations_total,class_total_max,class_total_min,class_total_min_non_zero,class_total_range_non_zero,class_total_range,class_total_mean,class_total_mean_round,class_total_median,class_total_mode,class_total_std_dev,class_total_variance,class_total_q1,class_total_q2,class_total_q3,class_total_iqr,class_total_skewness,class_total_kurtosis,class_stereotyped_max,class_stereotyped_min,class_stereotyped_min_non_zero,class_stereotyped_range_non_zero,class_stereotyped_range,class_stereotyped_mean,class_stereotyped_mean_round,class_stereotyped_median,class_stereotyped_mode,class_stereotyped_std_dev,class_stereotyped_variance,class_stereotyped_q1,class_stereotyped_q2,class_stereotyped_q3,class_stereotyped_iqr,class_stereotyped_skewness,class_stereotyped_kurtosis,class_non_stereotyped_max,class_non_stereotyped_min,class_non_stereotyped_min_non_zero,class_non_stereotyped_range_non_zero,class_non_stereotyped_range,class_non_stereotyped_mean,class_non_stereotyped_mean_round,class_non_stereotyped_median,class_non_stereotyped_mode,class_non_stereotyped_std_dev,class_non_stereotyped_variance,class_non_stereotyped_q1,class_non_stereotyped_q2,class_non_stereotyped_q3,class_non_stereotyped_iqr,class_non_stereotyped_skewness,class_non_stereotyped_kurtosis,class_ontouml_max,class_ontouml_min,class_ontouml_min_non_zero,class_ontouml_range_non_zero,class_ontouml_range,class_ontouml_mean,class_ontouml_mean_round,class_ontouml_median,class_ontouml_mode,class_ontouml_std_dev,class_ontouml_variance,class_ontouml_q1,class_ontouml_q2,class_ontouml_q3,class_ontouml_iqr,class_ontouml_skewness,class_ontouml_kurtosis,class_non_ontouml_max,class_non_ontouml_min,class_non_ontouml_min_non_zero,class_non_ontouml_range_non_zero,class_non_ontouml_range,class_non_ontouml_mean,class_non_ontouml_mean_round,class_non_ontouml_median,class_non_ontouml_mode,class_non_ontouml_std_dev,class_non_ontouml_variance,class_non_ontouml_q1,class_non_ontouml_q2,class_non_ontouml_q3,class_non_ontouml_iqr,class_non_ontouml_skewness,class_non_ontouml_kurtosis,relation_total_max,relation_total_min,relation_total_min_non_zero,relation_total_range_non_zero,relation_total_range,relation_total_mean,relation_total_mean_round,relation_total_median,relation_total_mode,relation_total_std_dev,relation_total_variance,relation_total_q1,relation_total_q2,relation_total_q3,relation_total_iqr,relation_total_skewness,relation_total_kurtosis,relation_stereotyped_max,relation_stereotyped_min,relation_stereotyped_min_non_zero,relation_stereotyped_range_non_zero,relation_stereotyped_range,relation_stereotyped_mean,relation_stereotyped_mean_round,relation_stereotyped_median,relation_stereotyped_mode,relation_stereotyped_std_dev,relation_stereotyped_variance,relation_stereotyped_q1,relation_stereotyped_q2,relation_stereotyped_q3,relation_stereotyped_iqr,relation_stereotyped_skewness,relation_stereotyped_kurtosis,relation_non_stereotyped_max,relation_non_stereotyped_min,relation_non_stereotyped_min_non_zero,relation_non_stereotyped_range_non_zero,relation_non_stereotyped_range,relation_non_stereotyped_mean,relation_non_stereotyped_mean_round,relation_non_stereotyped_median,relation_non_stereotyped_mode,relation_non_stereotyped_std_dev,relation_non_stereotyped_variance,relation_non_stereotyped_q1,relation_non_stereotyped_q2,relation_non_stereotyped_q3,relation_non_stereotyped_iqr,relation_non_stereotyped_skewness,relation_non_stereotyped_kurtosis,relation_ontouml_max,relation_ontouml_min,relation_ontouml_min_non_zero,relation_ontouml_range_non_zero,relation_ontouml_range,relation_ontouml_mean,relation_ontouml_mean_round,relation_ontouml_median,relation_ontouml_mode,relation_ontouml_std_dev,relation_ontouml_variance,relation_ontouml_q1,relation_ontouml_q2,relation_ontouml_q3,relation_ontouml_iqr,relation_ontouml_skewness,relation_ontouml_kurtosis,relation_non_ontouml_max,relation_non_ontouml_min,relation_non_ontouml_min_non_zero,relation_non_ontouml_range_non_zero,relation_non_ontouml_range,relation_non_ontouml_mean,relation_non_ontouml_mean_round,relation_non_ontouml_median,relation_non_ontouml_mode,relation_non_ontouml_std_dev,relation_non_ontouml_variance,relation_non_ontouml_q1,relation_non_ontouml_q2,relation_non_ontouml_q3,relation_non_ontouml_iqr,relation_non_ontouml_skewness,relation_non_ontouml_kurtosis
ontouml_all,164,12193,11813,380,11703,490,8565,6270,2295,5660,2905,1.4235843549328664,1.8840510366826155,0.9688345772164356,0.03116542278356434,0.7320490367775832,0.2679509632224168,0.9598130074632986,0.04018699253670139,0.6608289550496206,0.3391710449503795,3760,7,7,3753,3753,74.34756097560975,74,35.0,18,294.2199192928401,86565.36090868534,22.0,35.0,56.5,34.5,12.006343990025055,147.1781291852095,3760,6,6,3754,3754,72.03048780487805,72,34.0,18,293.9834163188355,86426.24907049375,21.5,34.0,55.0,33.5,12.056773135526306,148.03997883730446,91,0,1,90,91,2.317073170731707,2,0.0,0,10.617953099304794,112.74092801903629,0.0,0.0,0.0,0.0,6.18391608222333,41.082613925810506,3760,0,4,3756,3760,71.35975609756098,71,34.0,18,294.026357023194,86451.49862433075,20.0,34.0,54.25,34.25,12.058111988943978,148.06173814504447,91,0,1,90,91,2.9878048780487805,3,0.0,0,10.893043094763119,118.65838786436646,0.0,0.0,0.0,0.0,5.766258363984724,36.899267105181416,1782,0,3,1779,1782,52.22560975609756,52,30.0,15,142.68207564369834,20358.17470999405,17.75,30.0,53.0,35.25,10.960238411271254,128.90179512477772,1778,0,1,1777,1778,38.23170731707317,38,18.0,0,141.28575945195024,19961.665823914347,7.0,18.0,34.25,27.25,11.45426789252878,137.3428613733918,153,0,1,152,153,13.99390243902439,14,6.0,0,20.820222624574008,433.48167013682337,0.0,6.0,19.25,19.25,2.9474738724872678,12.589790514695775,1670,0,1,1669,1670,34.51219512195122,35,16.0,0,132.7531400485217,17623.39619274241,6.0,16.0,30.25,24.25,11.477937850316929,137.6347753189202,153,0,1,152,153,17.713414634146343,18,8.5,0,25.03187364334462,626.5946980963712,2.75,8.5,22.0,19.25,2.8279524630691086,9.965137947197917
ontouml_classroom,43,1488,1488,0,1488,0,1045,977,68,898,147,1.4239234449760765,1.5230296827021494,1.0,0.0,0.9349282296650717,0.06507177033492823,1.0,0.0,0.8593301435406698,0.14066985645933014,91,8,8,83,83,34.604651162790695,35,32.0,18,19.195614245802645,368.4716062736614,19.5,32.0,45.0,25.5,1.0550897716489567,0.7764514536840492,91,8,8,83,83,34.604651162790695,35,32.0,18,19.195614245802645,368.4716062736614,19.5,32.0,45.0,25.5,1.0550897716489567,0.7764514536840492,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,91,8,8,83,83,34.604651162790695,35,32.0,18,19.195614245802645,368.4716062736614,19.5,32.0,45.0,25.5,1.0550897716489567,0.7764514536840492,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,63,4,4,59,59,24.302325581395348,24,21.0,15,14.712018317136645,216.44348296376415,14.0,21.0,33.0,19.0,0.8919468280850513,0.2890261689070095,63,0,4,59,63,22.72093023255814,23,18.0,14,14.498316793074352,210.20118983234178,13.0,18.0,32.0,19.0,0.8580409921105345,0.17270763723678195,15,0,1,14,15,1.5813953488372092,2,0.0,0,3.584414311987157,12.848025959978367,0.0,0.0,1.0,1.0,2.560743351879619,5.743303041549916,63,0,4,59,63,20.88372093023256,21,16.0,14,14.317348887902886,204.986479177934,11.5,16.0,28.5,17.0,0.9929378135835565,0.38954531339402365,15,0,1,14,15,3.4186046511627906,3,2.0,0,4.172069689597968,17.406165494862083,0.0,2.0,6.0,6.0,1.1736552413084604,0.4033984399546018
ontouml_non_classroom,121,10705,10325,380,10215,490,7520,5293,2227,4762,2758,1.4235372340425532,1.9506895900245607,0.9645025688930406,0.03549743110695937,0.7038563829787234,0.2961436170212766,0.9542269967304998,0.045773003269500234,0.6332446808510638,0.36675531914893617,3760,7,7,3753,3753,88.47107438016529,88,39.0,18,341.2279738753024,116436.53015504405,24.0,39.0,63.0,39.0,10.308262034474371,107.78874119133306,3760,6,6,3754,3754,85.3305785123967,85,37.0,18,341.0778585512115,116334.10559388022,22.0,37.0,62.0,40.0,10.347724997884734,108.3635235426566,91,0,1,90,91,3.1404958677685952,3,0.0,0,12.256424043440548,150.21993033262757,0.0,0.0,0.0,0.0,5.250004882971816,29.21538609037639,3760,0,4,3756,3760,84.42148760330579,84,35.0,20,341.1631478084648,116392.2934225804,20.0,35.0,58.0,38.0,10.347719655214572,108.36247122067682,91,0,1,90,91,4.049586776859504,4,0.0,0,12.51105378341071,156.5264667713954,0.0,0.0,2.0,2.0,4.908068559610739,26.366838128507815,1782,0,3,1779,1782,62.14876033057851,62,31.0,22,164.74351019495663,27140.424151355775,21.0,31.0,60.0,39.0,9.472791506684073,95.28490023992323,1778,0,1,1777,1778,43.743801652892564,44,18.0,0,163.9051594811942,26864.901304555708,6.0,18.0,37.0,31.0,9.843539909315252,100.68886618009327,153,0,1,152,153,18.40495867768595,18,12.0,0,22.555561705292725,508.7533638412676,4.0,12.0,27.0,23.0,2.618198521150044,10.018132832232277,1670,0,1,1669,1670,39.35537190082645,39,16.0,0,154.02580332845986,23723.948090977396,3.0,16.0,31.0,28.0,9.866804094527298,100.93855313446068,153,0,1,152,153,22.793388429752067,23,14.0,0,27.28845526954361,744.6597909978825,6.0,14.0,29.0,23.0,2.456236030348643,7.365987433287691
ontouml_non_classroom_until_2018,39,6078,5833,245,5763,315,3593,2858,735,2488,1105,1.691622599499026,2.0409377186843947,0.9596906877262257,0.04030931227377427,0.79543556916226,0.20456443083774006,0.9481737413622903,0.051826258637709774,0.6924575563595881,0.3075424436404119,3760,10,10,3750,3750,155.84615384615384,156,32.0,13,591.2155465523612,349535.8224852072,19.0,32.0,60.5,41.5,5.8058208604959605,32.41764326528069,3760,6,6,3754,3754,149.56410256410257,150,27.0,11,591.5446444721496,349925.0664036819,17.0,27.0,52.5,35.5,5.827062953993354,32.585804584667144,91,0,2,89,91,6.282051282051282,6,0.0,0,18.40143349760015,338.61275476660086,0.0,0.0,0.0,0.0,3.497135281004563,11.715198036078833,3760,0,4,3756,3760,147.76923076923077,148,27.0,11,591.8211988100347,350252.33136094664,16.5,27.0,49.0,32.5,5.827684953783818,32.59006192321373,91,0,2,89,91,8.076923076923077,8,0.0,0,18.57953742818601,345.19921104536485,0.0,0.0,7.5,7.5,3.2608547025048984,10.466736180176538,1782,3,3,1779,1779,92.12820512820512,92,30.0,15,281.0459565930299,78986.82971729127,18.0,30.0,52.0,34.0,5.584140398634476,30.536880501168042,1778,0,1,1777,1778,73.28205128205128,73,7.0,0,282.87642937019007,80019.07429322814,2.0,7.0,27.0,25.0,5.625803874845295,30.844115843293764,87,0,1,86,87,18.846153846153847,19,14.0,0,19.8307433709127,393.258382642998,4.0,14.0,28.0,24.0,1.716160714548128,2.9828258775535197,1670,0,1,1669,1670,63.794871794871796,64,6.0,0,265.9516226961722,70730.26561472713,2.0,6.0,22.5,20.5,5.6677901449107155,31.14364190594543,150,0,3,147,150,28.333333333333332,28,18.0,3,31.565425205057327,996.3760683760685,8.5,18.0,30.5,22.0,2.15070574988098,4.646113799619299
ontouml_non_classroom_after_2019,82,4627,4492,135,4452,175,3927,2435,1492,2274,1653,1.17825311942959,1.84476386036961,0.9708234277069375,0.02917657229306246,0.6200662083015024,0.37993379169849756,0.962178517397882,0.037821482602118005,0.5790679908326967,0.4209320091673033,259,7,7,252,252,56.426829268292686,56,41.5,19,48.850950633036184,2386.4153777513384,27.25,41.5,64.5,37.25,2.0738878065821402,4.189338627395656,257,7,7,250,250,54.78048780487805,55,40.0,30,48.37682986776551,2340.317668054729,25.25,40.0,62.75,37.5,2.133825226427369,4.414781795451356,60,0,1,59,60,1.646341463414634,2,0.0,0,7.32748243329399,53.691998810232015,0.0,0.0,0.0,0.0,6.636670940810791,47.41337712850169,257,7,7,250,250,54.292682926829265,54,40.0,24,48.475160298575965,2349.8411659726357,24.5,40.0,61.75,37.25,2.143440578710876,4.447167641932425,60,0,1,59,60,2.1341463414634148,2,0.0,0,7.443711038679879,55.40883402736468,0.0,0.0,1.0,1.0,6.174633216015265,42.73721387240582,299,0,6,293,299,47.890243902439025,48,37.0,22,43.02325125697731,1851.0001487209995,21.25,37.0,61.75,40.5,2.916360519109198,12.714522472305823,146,0,2,144,146,29.695121951219512,30,19.5,0,31.17561939236048,971.919244497323,8.25,19.5,37.75,29.5,1.726184158104803,2.871654567656539,153,0,1,152,153,18.195121951219512,18,10.0,0,23.73915106480876,563.5472932778108,3.25,10.0,22.0,18.75,2.8461049733798394,11.334212210460286,146,0,2,144,146,27.73170731707317,28,18.0,0,30.79121223244718,948.0987507436049,6.25,18.0,32.0,25.75,1.9109905595774903,3.5652419484127975,153,0,1,152,153,20.158536585365855,20,12.5,0,24.564236104943166,603.4016954193934,4.0,12.5,27.5,23.5,2.5847178794155097,9.221341149076471
ontouml_all_filtered,147,5474,5297,177,5202,272,4567,2927,1640,2642,1925,1.1985986424348587,1.809702767338572,0.9676653270003653,0.032334672999634634,0.6409021239325596,0.3590978760674403,0.9503105590062112,0.049689440993788817,0.5784979198598642,0.42150208014013574,106,7,7,99,99,37.23809523809524,37,33.0,18,20.84159020051416,434.3718820861678,20.0,33.0,49.0,29.0,0.9016741677525923,0.3859244665285231,95,6,6,89,89,36.034013605442176,36,32.0,18,20.115454161809755,404.6314961358693,19.5,32.0,48.0,28.5,0.8145680148762113,-0.0013008463921808655,60,0,1,59,60,1.2040816326530612,1,0.0,0,5.944114765638162,35.33250034707762,0.0,0.0,0.0,0.0,7.508269155565531,65.21736238924498,95,0,4,91,95,35.38775510204081,35,32.0,18,20.105994293370795,404.25100652505904,19.0,32.0,48.0,29.0,0.7859776811674687,0.1009757254974839,60,0,1,59,60,1.8503401360544218,2,0.0,0,6.336755689895509,40.15447267342311,0.0,0.0,0.0,0.0,6.140696033568801,47.75120575605925,99,0,3,96,99,31.068027210884352,31,27.0,15,19.564183526548817,382.75727706048406,16.0,27.0,42.5,26.5,0.8675746849282543,0.24734770670851525,67,0,1,66,67,19.91156462585034,20,17.0,0,16.690428708607698,278.570410477116,6.0,17.0,30.0,24.0,0.8906240960850613,0.18645583993967785,67,0,1,66,67,11.156462585034014,11,6.0,0,13.954103914552304,194.71701605812393,0.0,6.0,16.0,16.0,1.582756473862018,2.3259566068730484,66,0,1,65,66,17.972789115646258,18,14.0,0,15.81050437789443,249.97204868341896,6.0,14.0,27.5,21.5,1.054206820288807,0.6250937164726542,82,0,1,81,82,13.095238095238095,13,8.0,0,14.9444929148073,223.3378684807256,2.0,8.0,19.5,17.5,1.786348143177847,3.752263491779555
ontouml_classroom_general_filtered,43,1488,1488,0,1488,0,1045,977,68,898,147,1.4239234449760765,1.5230296827021494,1.0,0.0,0.9349282296650717,0.06507177033492823,1.0,0.0,0.8593301435406698,0.14066985645933014,91,8,8,83,83,34.604651162790695,35,32.0,18,19.195614245802645,368.4716062736614,19.5,32.0,45.0,25.5,1.0550897716489567,0.7764514536840492,91,8,8,83,83,34.604651162790695,35,32.0,18,19.195614245802645,368.4716062736614,19.5,32.0,45.0,25.5,1.0550897716489567,0.7764514536840492,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,91,8,8,83,83,34.604651162790695,35,32.0,18,19.195614245802645,368.4716062736614,19.5,32.0,45.0,25.5,1.0550897716489567,0.7764514536840492,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,63,4,4,59,59,24.302325581395348,24,21.0,15,14.712018317136645,216.44348296376415,14.0,21.0,33.0,19.0,0.8919468280850513,0.2890261689070095,63,0,4,59,63,22.72093023255814,23,18.0,14,14.498316793074352,210.20118983234178,13.0,18.0,32.0,19.0,0.8580409921105345,0.17270763723678195,15,0,1,14,15,1.5813953488372092,2,0.0,0,3.584414311987157,12.848025959978367,0.0,0.0,1.0,1.0,2.560743351879619,5.743303041549916,63,0,4,59,63,20.88372093023256,21,16.0,14,14.317348887902886,204.986479177934,11.5,16.0,28.5,17.0,0.9929378135835565,0.38954531339402365,15,0,1,14,15,3.4186046511627906,3,2.0,0,4.172069689597968,17.406165494862083,0.0,2.0,6.0,6.0,1.1736552413084604,0.4033984399546018
ontouml_classroom_specific_filtered,40,1245,1245,0,1245,0,876,817,59,741,135,1.4212328767123288,1.5238678090575275,1.0,0.0,0.932648401826484,0.06735159817351598,1.0,0.0,0.8458904109589042,0.1541095890410959,71,8,8,63,63,31.125,31,30.0,18,14.683643110618018,215.609375,18.75,30.0,42.25,23.5,0.5960709388218178,-0.2284286830667086,71,8,8,63,63,31.125,31,30.0,18,14.683643110618018,215.609375,18.75,30.0,42.25,23.5,0.5960709388218178,-0.2284286830667086,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,71,8,8,63,63,31.125,31,30.0,18,14.683643110618018,215.609375,18.75,30.0,42.25,23.5,0.5960709388218178,-0.2284286830667086,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,54,4,4,50,50,21.9,22,19.5,15,11.970380110923797,143.29000000000002,13.75,19.5,31.5,17.75,0.6056823327358847,-0.29956201931401427,54,0,4,50,54,20.425,20,18.0,14,12.057958989812496,145.394375,12.75,18.0,28.5,15.75,0.6943580820677391,-0.00616600038426407,15,0,1,14,15,1.475,1,0.0,0,3.5070464781636415,12.299375000000001,0.0,0.0,1.0,1.0,2.798021892762833,7.087683211163958,48,0,4,44,48,18.525,19,14.5,14,11.59954201682118,134.549375,10.5,14.5,27.25,16.75,0.7679928778922416,-0.2079238472049889,15,0,1,14,15,3.375,3,1.5,0,4.157448135575476,17.284375,0.0,1.5,6.0,6.0,1.2222195548778567,0.5922406216456668
ontouml_non_classroom_general_filtered,104,3986,3809,177,3714,272,3522,1950,1572,1744,1778,1.1317433276547417,1.9533333333333334,0.9555945810336176,0.04440541896638234,0.5536626916524702,0.4463373083475298,0.9317611640742599,0.0682388359257401,0.4951731970471323,0.5048268029528676,106,7,7,99,99,38.32692307692308,38,34.0,18,21.390797045104517,457.56619822485214,22.0,34.0,52.5,30.5,0.8344736848726383,0.23982804355462406,95,6,6,89,89,36.625,37,31.5,18,20.45454035547722,418.38822115384613,19.75,31.5,49.25,29.5,0.7242734189128646,-0.24528092836663884,60,0,1,59,60,1.7019230769230769,2,0.0,0,7.006699826282078,49.0938424556213,0.0,0.0,0.0,0.0,6.268133025669632,45.130748392592096,95,0,4,91,95,35.71153846153846,36,31.5,20,20.461818607104775,418.6860207100592,19.0,31.5,48.0,29.0,0.6881579339755421,-0.11637979407868038,60,0,1,59,60,2.6153846153846154,3,0.0,0,7.399724127274159,54.75591715976332,0.0,0.0,1.25,1.25,5.145940193441401,33.38369489286893,99,0,3,96,99,33.86538461538461,34,29.5,22,20.609957307978256,424.7703402366863,18.0,29.5,48.5,30.5,0.7272092105770722,-0.0967267175428268,67,0,1,66,67,18.75,19,15.0,0,17.384647294048317,302.22596153846155,3.75,15.0,28.25,24.5,0.9678047783471654,0.2454077461466353,67,0,1,66,67,15.115384615384615,15,12.0,0,14.708257552704412,216.33284023668637,3.0,12.0,22.0,19.0,1.230096337336464,1.2249257927938908,66,0,1,65,66,16.76923076923077,17,13.0,0,16.236373440063737,263.6198224852071,3.0,13.0,26.0,23.0,1.1418642291962762,0.801027937098008,82,0,1,81,82,17.096153846153847,17,13.5,0,15.929845737077953,253.7599852071006,5.75,13.5,25.25,19.5,1.451098010433039,2.448038041216905
ontouml_non_classroom_specific_filtered,112,9182,8813,369,8703,479,6308,4510,1798,4017,2291,1.4556119213696892,1.9541019955654102,0.9598126769766935,0.04018732302330647,0.7149651236525048,0.28503487634749525,0.9478327161838379,0.052167283816162056,0.6368103994927077,0.3631896005072923,3760,7,7,3753,3753,81.98214285714286,82,36.0,18,353.5383890587631,124989.39253826533,22.75,36.0,56.5,33.75,10.06632830015828,101.6074496492133,3760,6,6,3754,3754,78.6875,79,33.5,18,353.35259179672687,124858.05412946429,21.5,33.5,54.25,32.75,10.10850861611477,102.20311717407112,91,0,1,90,91,3.294642857142857,3,0.0,0,12.718545509312335,161.76139987244898,0.0,0.0,0.0,0.0,5.040172262448737,26.769438098549703,3760,0,4,3756,3760,77.70535714285714,78,33.0,20,353.42297196724235,124907.79711415817,20.0,33.0,53.25,33.25,10.11059962898797,102.23168199738578,91,0,1,90,91,4.276785714285714,4,0.0,0,12.96920103100623,168.20017538265307,0.0,0.0,2.0,2.0,4.7090927215884655,24.14332102127813,1782,0,3,1779,1782,56.32142857142857,56,31.0,22,168.8817852758526,28521.057397959183,20.0,31.0,53.0,33.0,9.574437189758296,94.42904391759646,1778,0,1,1777,1778,40.267857142857146,40,16.5,0,169.37558550994515,28688.088966836738,4.75,16.5,30.25,25.5,9.693840004903013,96.02581663744387,87,0,1,86,87,16.053571428571427,16,12.0,0,16.88503103222448,285.1042729591837,3.75,12.0,22.75,19.0,1.6729982809085575,3.231745137619293,1670,0,1,1669,1670,35.86607142857143,36,15.0,0,158.9688028432732,25271.08027742347,3.0,15.0,29.25,26.25,9.754955921438299,96.81208392776091,150,0,1,149,150,20.455357142857142,20,14.0,0,23.683511591422004,560.9087213010205,6.0,14.0,27.25,21.25,2.6034793157862843,8.922453677632577
