year,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
2005,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,2,1
2013,0,0,0,1,0,1,0,0,0,0,1,1,2,0,0,2,0,0,0,0,1
2014,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
2015,0,6,0,6,0,4,1,0,0,0,5,7,5,0,0,2,2,0,0,7,6
2016,0,3,1,1,0,0,1,0,0,0,1,3,2,1,0,0,0,0,0,3,2
2017,0,1,0,2,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,8,2
2018,1,4,0,3,0,1,1,1,1,1,3,6,2,1,0,0,0,0,1,9,2
