Stereotype,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
bringsAbout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
characterization,0.0,1.5522355559605487,0.07028429806587504,0.0,0.0,0.5490758646875277,0.0,0.7405186221955584,0.0,0.11924692639624523,0.11924692639624523,0.659444568223184,1.1402320318911778,0.0,0.23781901105692071,0.0,0.0,0.0,0.0,0.11924692639624523,1.256225772276402,1.2776085352624151
comparative,0.0,0.07028429806587504,0.11924692639624487,0.0,0.0,0.0077122396090133355,0.0,0.009578070151159024,0.0,0.0006748417355691497,0.0006748417355691497,0.07028429806587443,0.08370091713676059,0.0,0.0013679268214664558,0.0,0.0,0.0,0.0,0.0006748417355691497,0.11924692639624498,0.11924692639624478
componentOf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
creation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
derivation,0.0,0.5490758646875277,0.0077122396090133355,0.0,0.0,1.0174909662812537,0.0,0.6425205570850842,0.0,0.0077122396090133355,0.0077122396090133355,0.8129276818420602,0.7255420890612219,0.0,0.015665583172539632,0.0,0.0,0.0,0.0,0.0077122396090133355,0.777381672582576,0.8504844211134814
externalDependence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formal,0.0,0.7405186221955584,0.009578070151159024,0.0,0.0,0.6425205570850842,0.0,1.2973197936137177,0.0,0.009578070151159024,0.009578070151159024,0.6094472070912511,0.9585903184656658,0.0,0.1281501548118345,0.0,0.0,0.0,0.0,0.009578070151159024,0.9016098438062166,0.8947759696147243
historicalDependence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
instantiation,0.0,0.11924692639624523,0.0006748417355691497,0.0,0.0,0.0077122396090133355,0.0,0.009578070151159024,0.0,0.11924692639624487,0.11924692639624487,0.017444237500925372,0.06157152694816208,0.0,0.11924692639624446,0.0,0.0,0.0,0.0,0.11924692639624487,0.11924692639624498,0.11924692639624478
manifestation,0.0,0.11924692639624523,0.0006748417355691497,0.0,0.0,0.0077122396090133355,0.0,0.009578070151159024,0.0,0.11924692639624487,0.11924692639624487,0.017444237500925372,0.06157152694816208,0.0,0.11924692639624446,0.0,0.0,0.0,0.0,0.11924692639624487,0.11924692639624498,0.11924692639624478
material,0.0,0.659444568223184,0.07028429806587443,0.0,0.0,0.8129276818420602,0.0,0.6094472070912511,0.0,0.017444237500925372,0.017444237500925372,1.6249407077467735,0.9605133166362085,0.0,0.03556378467361687,0.0,0.0,0.0,0.0,0.017444237500925372,1.2426473770101585,1.043743200511424
mediation,0.0,1.1402320318911778,0.08370091713676059,0.0,0.0,0.7255420890612219,0.0,0.9585903184656658,0.0,0.06157152694816208,0.06157152694816208,0.9605133166362085,1.9099296622573176,0.0,0.1311809832784675,0.0,0.0,0.0,0.0,0.06157152694816208,1.372035675411879,1.2428091532055165
memberOf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
participation,0.0,0.23781901105692071,0.0013679268214664558,0.0,0.0,0.015665583172539632,0.0,0.1281501548118345,0.0,0.11924692639624446,0.11924692639624446,0.03556378467361687,0.1311809832784675,0.0,0.2378190110569206,0.0,0.0,0.0,0.0,0.11924692639624446,0.16850190200056614,0.23781901105692071
participational,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subCollectionOf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subQuantityOf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
termination,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triggers,0.0,0.11924692639624523,0.0006748417355691497,0.0,0.0,0.0077122396090133355,0.0,0.009578070151159024,0.0,0.11924692639624487,0.11924692639624487,0.017444237500925372,0.06157152694816208,0.0,0.11924692639624446,0.0,0.0,0.0,0.0,0.11924692639624487,0.11924692639624498,0.11924692639624478
none,0.0,1.256225772276402,0.11924692639624498,0.0,0.0,0.777381672582576,0.0,0.9016098438062166,0.0,0.11924692639624498,0.11924692639624498,1.2426473770101585,1.372035675411879,0.0,0.16850190200056614,0.0,0.0,0.0,0.0,0.11924692639624498,3.0545756407652385,1.7125400600225453
other,0.0,1.2776085352624151,0.11924692639624478,0.0,0.0,0.8504844211134814,0.0,0.8947759696147243,0.0,0.11924692639624478,0.11924692639624478,1.043743200511424,1.2428091532055165,0.0,0.23781901105692071,0.0,0.0,0.0,0.0,0.11924692639624478,1.7125400600225453,2.2504340468679835
