Stereotype,Total,Mean,Median,Mode,Standard Deviation,Variance,Skewness,Kurtosis,Q1,Q3,IQR,Min,Max,Range,Min Non-Zero,Range Non-Zero
bringsAbout,3,0.0967741935483871,0.0,0,0.5388159060803247,0.2903225806451613,5.5677643628300215,30.999999999999993,0.0,0.0,0.0,0,3,3,3.0,0.0
characterization,46,1.4838709677419355,0.0,0,2.838673020291177,8.058064516129035,2.106962599427312,3.8857610717143514,0.0,1.5,1.5,0,11,11,1.0,10.0
comparative,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
componentOf,41,1.3225806451612903,0.0,0,2.688086020128989,7.225806451612907,2.5484189891361297,6.470805896250122,0.0,1.5,1.5,0,11,11,1.0,10.0
creation,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
derivation,21,0.6774193548387096,0.0,0,1.5787568268354597,2.4924731182795696,2.421377561935844,5.117828216092457,0.0,0.0,0.0,0,6,6,2.0,4.0
externalDependence,8,0.25806451612903225,0.0,0,1.1245070604634988,1.2645161290322589,4.863809172392098,24.596001665972498,0.0,0.0,0.0,0,6,6,2.0,4.0
historicalDependence,5,0.16129032258064516,0.0,0,0.8980265101338745,0.8064516129032258,5.567764362830022,31.000000000000007,0.0,0.0,0.0,0,5,5,5.0,0.0
instantiation,2,0.06451612903225806,0.0,0,0.3592106040535499,0.12903225806451618,5.567764362830019,30.99999999999998,0.0,0.0,0.0,0,2,2,2.0,0.0
manifestation,3,0.0967741935483871,0.0,0,0.5388159060803247,0.2903225806451613,5.5677643628300215,30.999999999999993,0.0,0.0,0.0,0,3,3,3.0,0.0
material,51,1.6451612903225807,0.0,0,2.6526513415420707,7.036559139784947,1.9798074514815827,4.099243403101878,0.0,2.0,2.0,0,11,11,1.0,10.0
mediation,80,2.5806451612903225,0.0,0,3.8796408214196587,15.051612903225806,1.5592670810569234,1.4774317408353088,0.0,4.0,4.0,0,13,13,2.0,11.0
memberOf,10,0.3225806451612903,0.0,0,0.7477565011059659,0.5591397849462364,2.448172101569081,5.548500306059992,0.0,0.0,0.0,0,3,3,1.0,2.0
participation,15,0.4838709677419355,0.0,0,2.079598803326185,4.324731182795701,4.76677453446694,23.639207382766216,0.0,0.0,0.0,0,11,11,4.0,7.0
participational,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
subCollectionOf,7,0.22580645161290322,0.0,0,0.9560222249632357,0.9139784946236558,4.651627030637732,22.487335640138422,0.0,0.0,0.0,0,5,5,2.0,3.0
subQuantityOf,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
termination,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
triggers,2,0.06451612903225806,0.0,0,0.3592106040535499,0.12903225806451618,5.567764362830019,30.99999999999998,0.0,0.0,0.0,0,2,2,2.0,0.0
none,599,19.322580645161292,14.0,0,18.89512652647801,357.0258064516129,1.838111660654094,4.692439280553611,8.0,28.0,20.0,0,87,87,1.0,86.0
other,83,2.6774193548387095,0.0,0,5.81026159350388,33.75913978494625,2.8369848464081344,8.238261600051189,0.0,2.0,2.0,0,25,25,1.0,24.0
