Stereotype,category,event,kind,mode,phase,relator,role,roleMixin,subkind,type,none_c,characterization,componentOf,derivation,material,mediation,memberOf,none_r,other_r
category,1.0,0.07079427191090967,0.4928158986789492,0.513898728614516,0.43605753803643454,0.342430066418022,0.3556892255754004,0.47908579154525627,0.6259060860254935,0.5283375529707313,0.012419894310363673,0.469885205259286,0.3853847185681711,0.23812885338619677,0.49960629577044274,0.5600443105714873,0.40636204737526394,0.11322147430728166,0.35427041483695915
event,0.07079427191090967,1.0,-0.2877227968606011,0.14966432071743554,-0.0413890974052972,-0.37496993161650966,0.027804841685207218,0.28823202949406895,0.018394561770408553,0.3105875689125798,0.43976661018179947,0.04928174961191037,-0.2822555097035566,-0.22359086326436448,0.08899478832030755,-0.15547402289739598,-0.11721830766677215,0.4895189540130988,0.011467159539236393
kind,0.4928158986789492,-0.2877227968606011,1.0,0.23596875678450502,0.17778228588137365,0.3658493455191798,0.5545199896369416,-0.02462226641525738,0.5700575310280869,0.2346242946869214,-0.07428288816693177,0.025316089464169692,0.5129531779574256,0.3659504965674156,0.6152240831737741,0.27480320824222143,0.2622152798063602,0.0470004209344319,0.18082325102777966
mode,0.513898728614516,0.14966432071743554,0.23596875678450502,1.0,0.22113222903596638,0.2571797282493036,0.2818041877272512,0.5159248935808998,0.24729632778891295,0.47429010988817827,0.24409044055867224,0.5635083585549052,0.348972605190972,0.119159968311814,0.21124069705950255,0.4663319202312743,0.40666762126074546,0.18396649526794237,0.24934188459435358
phase,0.43605753803643454,-0.0413890974052972,0.17778228588137365,0.22113222903596638,1.0,0.19419815613430885,0.4091569057199877,0.3909305310460371,0.36812376628281035,0.1842631240468055,0.010494934015895747,0.05325798985805629,0.2277125672064345,0.3805853452463866,0.3118983128998426,0.27806085851438495,0.16856642222301674,-0.07870075396979989,0.3305604984422705
relator,0.342430066418022,-0.37496993161650966,0.3658493455191798,0.2571797282493036,0.19419815613430885,1.0,0.5127283338951979,0.4031990904726666,0.13326543661830537,0.29216607836755937,-0.20236568707449623,0.3796903568910611,0.36225255235313025,0.5575293492414373,0.44559719802943976,0.6941081113119988,0.27859422290655833,-0.06529633646261386,0.46511835321071604
role,0.3556892255754004,0.027804841685207218,0.5545199896369416,0.2818041877272512,0.4091569057199877,0.5127283338951979,1.0,0.2311856432201771,0.2886530346131598,0.42837914969572116,0.04141406849463474,0.1185352239796805,0.25820385727033823,0.33821209110947736,0.5397238583613075,0.3689037459967516,0.22181775166713097,0.16297522012419438,0.3092141746446678
roleMixin,0.47908579154525627,0.28823202949406895,-0.02462226641525738,0.5159248935808998,0.3909305310460371,0.4031990904726666,0.2311856432201771,1.0,0.20095310788890547,0.4407505677494426,0.15294674200143746,0.4773477339936071,0.1679342913390001,0.1932233498696487,0.2094050894802002,0.5033729978409776,0.1932127768225295,0.15998153076926216,0.418437941462779
subkind,0.6259060860254935,0.018394561770408553,0.5700575310280869,0.24729632778891295,0.36812376628281035,0.13326543661830537,0.2886530346131598,0.20095310788890547,1.0,0.3316797256851612,-0.06181373212466121,0.04016232797443182,0.4312526744199258,0.14429085456585097,0.439848699006334,0.3266089924157093,0.179655042585308,-0.022688018747582587,-0.03367195345795722
type,0.5283375529707313,0.3105875689125798,0.2346242946869214,0.47429010988817827,0.1842631240468055,0.29216607836755937,0.42837914969572116,0.4407505677494426,0.3316797256851612,1.0,0.24372395694538126,0.34773358440899893,0.21506590845359855,0.04732537279438898,0.3177886681225312,0.28719426871239856,0.33695761636615296,0.2613189510724185,0.22356921821126222
none_c,0.012419894310363673,0.43976661018179947,-0.07428288816693177,0.24409044055867224,0.010494934015895747,-0.20236568707449623,0.04141406849463474,0.15294674200143746,-0.06181373212466121,0.24372395694538126,1.0,-0.05061896694689339,0.011911122588175919,-0.018703779865958267,0.09880599561824742,-0.09683121797927134,-0.04114826138099488,0.5011638413838866,0.02381920914177934
characterization,0.469885205259286,0.04928174961191037,0.025316089464169692,0.5635083585549052,0.05325798985805629,0.3796903568910611,0.1185352239796805,0.4773477339936071,0.04016232797443182,0.34773358440899893,-0.05061896694689339,1.0,0.39048771140471733,0.22333199180194732,0.08399670268769038,0.665989312103316,0.39286990279877526,-0.07334591952981218,0.5302692097816649
componentOf,0.3853847185681711,-0.2822555097035566,0.5129531779574256,0.348972605190972,0.2277125672064345,0.36225255235313025,0.25820385727033823,0.1679342913390001,0.4312526744199258,0.21506590845359855,0.011911122588175919,0.39048771140471733,1.0,0.4319196668576882,0.3867669887441342,0.4439251093687929,0.5734664989925191,-0.21085281643212103,0.29900586528864
derivation,0.23812885338619677,-0.22359086326436448,0.3659504965674156,0.119159968311814,0.3805853452463866,0.5575293492414373,0.33821209110947736,0.1932233498696487,0.14429085456585097,0.04732537279438898,-0.018703779865958267,0.22333199180194732,0.4319196668576882,1.0,0.696869360855048,0.5169575173799451,0.33512761558269133,-0.1297824113926267,0.5789296304252848
material,0.49960629577044274,0.08899478832030755,0.6152240831737741,0.21124069705950255,0.3118983128998426,0.44559719802943976,0.5397238583613075,0.2094050894802002,0.439848699006334,0.3177886681225312,0.09880599561824742,0.08399670268769038,0.3867669887441342,0.696869360855048,1.0,0.4136191264939108,0.2573879693035649,0.18368762464316576,0.43342746483672684
mediation,0.5600443105714873,-0.15547402289739598,0.27480320824222143,0.4663319202312743,0.27806085851438495,0.6941081113119988,0.3689037459967516,0.5033729978409776,0.3266089924157093,0.28719426871239856,-0.09683121797927134,0.665989312103316,0.4439251093687929,0.5169575173799451,0.4136191264939108,1.0,0.47005812184587636,-0.30184151644917884,0.5852954706673059
memberOf,0.40636204737526394,-0.11721830766677215,0.2622152798063602,0.40666762126074546,0.16856642222301674,0.27859422290655833,0.22181775166713097,0.1932127768225295,0.179655042585308,0.33695761636615296,-0.04114826138099488,0.39286990279877526,0.5734664989925191,0.33512761558269133,0.2573879693035649,0.47005812184587636,1.0,-0.2927922252669631,0.42217795757027227
none_r,0.11322147430728166,0.4895189540130988,0.0470004209344319,0.18396649526794237,-0.07870075396979989,-0.06529633646261386,0.16297522012419438,0.15998153076926216,-0.022688018747582587,0.2613189510724185,0.5011638413838866,-0.07334591952981218,-0.21085281643212103,-0.1297824113926267,0.18368762464316576,-0.30184151644917884,-0.2927922252669631,1.0,-0.1639820586652343
other_r,0.35427041483695915,0.011467159539236393,0.18082325102777966,0.24934188459435358,0.3305604984422705,0.46511835321071604,0.3092141746446678,0.418437941462779,-0.03367195345795722,0.22356921821126222,0.02381920914177934,0.5302692097816649,0.29900586528864,0.5789296304252848,0.43342746483672684,0.5852954706673059,0.42217795757027227,-0.1639820586652343,1.0
